unboxer_id,vendor_id,target_bobcat
2116,53597,0
6430,17968,0
466,44148,0
3174,33479,0
8573,62492,1
4525,67901,0
2097,15544,0
8243,4554,0
8771,63689,0
7507,69699,0
2850,7414,1
2941,26483,0
4255,23947,0
7210,47567,0
2779,55938,0
7558,16088,1
5123,21574,0
4255,17405,0
4282,53884,0
5070,70898,0
3492,30609,0
1189,59465,0
7344,40493,0
7388,9742,0
5422,5817,0
8158,52442,0
6747,44389,0
2124,29427,0
4499,48907,0
1970,50821,0
7965,59371,1
4317,21053,0
4316,13653,0
5874,34811,0
2962,27803,0
867,3625,0
3066,25899,0
4823,44585,0
2245,12158,0
8441,7437,0
5459,65527,0
5264,19485,0
8231,33277,0
7789,8525,0
4954,19806,0
527,24541,0
1220,69939,0
2498,46987,0
925,70660,0
1048,70205,1
1613,56551,0
8441,60090,0
4145,42209,0
486,30888,0
8807,69150,0
4609,56537,0
2188,31713,0
7094,8880,0
5961,12590,0
6592,15197,0
1048,43367,0
912,16645,0
796,13865,0
7143,40296,0
1238,23954,0
8402,36167,0
2206,23325,0
4941,46156,0
8842,5836,0
3631,42684,0
3305,55971,0
7131,63402,0
867,34361,0
4726,11871,0
8441,10531,0
732,41192,1
6571,47528,0
8021,3502,0
6501,57960,0
79,37471,0
3095,72167,0
2138,19005,0
7726,68669,0
6886,16835,0
5183,20694,0
8920,33159,0
307,19444,0
6893,11774,0
1831,66598,0
1584,22601,0
4975,63782,0
5641,9352,0
7190,37726,0
2172,44103,0
4216,31177,0
6376,33943,0
3253,31280,0
5768,28335,0
4532,63286,0
5963,56541,0
6935,22280,0
2740,63418,0
5099,6042,0
3997,53411,0
191,35094,0
8243,12841,0
6537,8012,0
4192,16559,0
5845,25006,0
3845,8369,0
3439,53584,0
6400,39864,0
8359,38424,0
442,62270,1
5629,63838,0
6944,1161,0
4047,10206,0
5808,29390,0
191,59098,0
2838,9226,0
8148,20934,0
2238,70815,0
3992,8562,0
3204,34774,0
554,42831,0
4864,8614,0
4944,22187,0
947,110,0
8942,174,0
1264,20749,0
4024,50172,0
3947,69369,0
4255,38221,0
4189,15421,0
4640,9149,0
4265,60470,0
2678,41624,1
5815,63461,0
5485,53465,0
1439,44256,0
4667,26161,0
2037,46305,0
2036,53682,0
83,23886,0
896,69784,0
8353,69781,1
5963,49364,0
4255,28143,0
7822,63864,0
8942,3028,0
7094,62965,0
459,51083,0
37,21366,0
1947,39831,0
343,52692,0
5038,57796,0
1445,59847,0
1643,40507,0
4890,33615,0
8750,52835,0
8638,47641,0
5311,36880,1
6703,65669,0
3477,62709,0
4828,34364,0
1105,12978,0
4773,48651,0
6748,45045,1
3771,68561,0
3782,43702,0
