unboxer_id,feature_skimask1,feature_skimask2,feature_skimask3,feature_skimask4,feature_skimask5,feature_skimask6,feature_skimask7,feature_skimask8,feature_skimask9,feature_skimask10,feature_skimask11,feature_skimask12,feature_skimask13,feature_skimask14,feature_skimask15,feature_skimask16,feature_skimask17,feature_skimask18,feature_skimask19,feature_skimask20,feature_skimask21,feature_skimask22,feature_skimask23,feature_skimask24,feature_skimask25,feature_skimask26,feature_skimask27,feature_skimask28,feature_skimask29,feature_skimask30,feature_skimask31,feature_skimask32,feature_skimask33,feature_skimask34,feature_skimask35,feature_skimask36,feature_skimask37,feature_skimask38,feature_skimask39,feature_skimask40,feature_skimask41,feature_skimask42,feature_skimask43,feature_skimask44,feature_skimask45,feature_skimask46,feature_skimask47,feature_skimask48,feature_skimask49,feature_skimask50,feature_skimask51,feature_skimask52,feature_skimask53,feature_skimask54,feature_skimask55,feature_skimask56,feature_skimask57,feature_skimask58,feature_skimask59,feature_skimask60,feature_beartrap1,feature_beartrap2,feature_beartrap3,feature_beartrap4,feature_beartrap5
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,15
2,-1,1,-1,0,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,0,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,NaN,0,9,0,103
3,1,-1,-1,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,1,1,-1,0,0,-1,0,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,0,-1,0,-1,0,-1,1,1,0,-1,-1,-1,0,1,0,0,77,0,9,0,56
4,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,1,-1,1,1,-1,1,NaN,0,9,0,56
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,52
6,-1,-1,1,1,-1,-1,-1,0,-1,1,1,1,1,1,0,1,1,1,1,-1,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,0,-1,0,0,0,1,1,-1,0,0,1,-1,0,-1,-1,1,42,0,9,0,58
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,82
8,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,NaN,0,9,0,15
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,96
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,98
